Time (s),Velocity - X (cm/s),Velocity - Y (cm/s),Velocity - Total (cm/s)
25.67,-38.92,-4.94,39.23
25.84,-7.45,-3.09,8.07
25.99,-10.62,8.01,13.30
26.15,-28.85,9.68,30.44
26.31,-5.63,11.07,12.42
26.47,-3.17,13.81,14.17
26.63,-11.55,46.12,47.54
26.78,-11.61,56.32,57.51
26.94,-15.85,82.82,84.33
27.10,-8.02,57.73,58.28
27.26,-9.45,73.44,74.05
27.41,-15.34,114.54,115.57
27.57,-12.61,99.50,100.30
27.74,-8.00,84.60,84.98
27.90,-6.26,89.48,89.69
28.05,-3.16,107.69,107.74
28.21,-0.37,99.73,99.73
28.37,0.47,83.58,83.58
28.53,-1.31,84.82,84.83
28.70,4.57,-8.74,9.86
28.85,-0.64,-1.65,1.77
29.01,-4.75,4.63,6.63
29.17,1.30,8.99,9.09
29.33,-7.70,4.38,8.85
29.48,-0.21,56.91,56.92
29.66,15.56,17.89,23.71
29.80,22.24,7.08,23.34
29.97,37.60,-1.38,37.62
30.11,78.70,9.62,79.29
30.28,59.87,2.11,59.90
30.43,94.28,6.31,94.49
30.59,78.62,0.26,78.62
30.74,98.34,-0.12,98.34
30.90,94.54,0.44,94.54
31.06,106.57,-0.68,106.58
31.22,113.54,1.57,113.55
31.37,101.70,3.95,101.77
31.53,6.56,-20.27,21.31
31.69,135.75,-53.66,145.97
31.85,-8.45,19.38,21.14
32.00,-8.95,-7.72,11.82
32.17,3.01,9.49,9.95
32.35,17.52,-6.90,18.83
32.51,-23.62,1.13,23.65
32.66,-3.76,1.48,4.04
32.81,16.33,-3.01,16.60
32.97,2.90,-1.78,3.41
33.14,8.12,-3.25,8.74
33.30,14.61,-17.87,23.08
33.46,5.76,-20.74,21.52
33.61,1.08,-44.88,44.89
33.77,3.84,-43.59,43.76
33.93,8.57,-73.60,74.10
34.08,-0.09,-2.68,2.68
34.24,-0.31,-50.13,50.13
34.40,-3.13,0.25,3.14
34.56,-29.72,-163.35,166.03
34.73,-7.48,-19.34,20.74
34.87,-50.01,-131.46,140.66
35.03,-19.43,-84.62,86.83
35.19,-22.46,-87.84,90.66
35.34,-30.76,-97.10,101.85
35.50,-30.57,-106.03,110.35
35.66,-22.45,-91.52,94.23
35.82,-18.98,-89.88,91.86
35.97,-10.04,-60.23,61.06
36.14,-5.88,18.76,19.66
36.29,9.41,25.02,26.73
36.46,-9.57,-27.10,28.74
36.64,16.20,21.05,26.56
36.77,0.25,1.04,1.07
36.94,-36.47,14.60,39.28
37.09,8.51,0.39,8.52
37.25,-61.26,10.90,62.23
37.40,-53.16,15.98,55.51
37.56,-55.38,11.30,56.52
37.72,-40.92,-13.31,43.03
37.88,-21.60,5.23,22.22
38.05,-36.57,-3.30,36.72
38.20,-105.36,-15.66,106.52
38.36,-81.91,-7.97,82.30
38.52,-109.51,8.04,109.81
38.67,31.26,-4.77,31.62
38.83,-17.42,-0.17,17.42
38.99,-11.83,5.98,13.25
39.16,-25.88,9.03,27.41
39.30,-24.24,0.58,24.25
39.47,-11.48,1.02,11.53
39.64,1.99,-1.73,2.64
39.79,-4.05,4.89,6.34
39.95,-8.06,0.91,8.11
40.09,0.97,-0.19,0.99
40.26,1.52,-0.72,1.68
40.42,-1.85,-0.90,2.06
40.58,-2.07,0.57,2.15
40.73,-2.12,-1.06,2.37
40.89,-4.51,44.81,45.03
41.06,4.89,18.84,19.46
41.21,1.27,46.06,46.08
41.39,0.74,64.06,64.07
41.53,0.87,64.25,64.26
41.69,1.96,69.73,69.76
41.85,1.36,46.29,46.31
42.00,5.25,58.94,59.17
42.16,5.80,77.47,77.69
42.32,-0.60,37.61,37.62
42.49,-2.03,32.23,32.29
42.65,-0.13,17.66,17.66
42.80,0.36,12.50,12.51
42.96,-0.07,5.66,5.66
43.12,-0.14,0.82,0.83
43.28,6.14,38.33,38.82
43.43,19.60,13.33,23.71
43.59,14.66,-5.53,15.66
43.75,32.34,-3.33,32.51
43.92,46.30,-0.71,46.30
44.07,59.71,-0.39,59.71
44.23,81.85,-4.55,81.98
44.39,89.59,-3.24,89.65
44.55,107.10,-4.61,107.19
44.70,93.46,-3.04,93.51
44.85,100.27,-2.23,100.29
45.01,90.13,-1.48,90.14
45.17,99.93,-0.63,99.93
45.32,95.93,-0.05,95.93
45.48,77.61,-0.05,77.61
45.65,99.64,0.19,99.64
45.80,-18.09,-26.96,32.47
45.95,74.75,-35.85,82.91
46.11,16.99,17.13,24.13
46.27,-2.06,0.18,2.07
46.44,9.03,-1.61,9.17
46.59,-15.65,-1.07,15.68
46.74,-7.14,1.53,7.30
46.91,-7.63,1.51,7.77
47.08,-0.04,-0.03,0.05
47.22,1.37,-0.12,1.38
47.38,0.61,-0.09,0.62
47.55,0.44,-0.07,0.45
47.71,-0.13,0.03,0.13
47.86,2.11,-0.49,2.16
48.02,2.45,-19.75,19.90
48.18,-3.86,-16.22,16.68
48.34,-4.33,-23.44,23.84
48.50,-2.57,-43.59,43.67
48.66,-4.26,-51.39,51.57
48.81,-8.28,-79.34,79.77
48.98,-6.07,-73.41,73.66
49.12,-5.29,-42.67,42.99
49.29,-17.50,-67.50,69.73
49.45,-3.33,-56.48,56.57
49.60,6.41,-32.28,32.91
49.76,4.20,-36.06,36.31
49.92,-2.04,-17.01,17.14
50.08,-17.22,-56.49,59.06
50.24,-28.89,-21.33,35.91
50.40,-58.58,1.57,58.60
50.57,-61.64,-7.09,62.04
50.72,-33.17,0.45,33.17
50.88,-86.93,-6.50,87.18
51.04,-74.77,-3.02,74.83
51.19,-83.96,-1.52,83.97
51.36,-86.77,0.91,86.78
51.51,4.29,30.03,30.33
51.67,31.43,19.24,36.85
51.83,-47.49,19.69,51.42
51.98,-10.71,-5.76,12.16
52.14,-11.44,0.59,11.46
52.30,-40.32,-10.97,41.78
52.46,-16.10,-4.83,16.81
52.63,-10.37,-2.06,10.57
52.79,-1.52,-0.18,1.53
52.93,-3.68,-0.87,3.78
53.08,-2.39,-0.42,2.43
53.24,-5.03,-0.88,5.10
53.40,-5.54,-0.73,5.59
53.57,7.38,-0.53,7.39
53.72,-5.87,39.46,39.90
53.89,3.19,-4.36,5.40
54.04,1.52,37.70,37.73
54.20,14.55,40.45,42.99
54.36,0.21,14.95,14.95
54.51,-0.07,24.07,24.07
54.67,-2.44,101.26,101.29
54.84,0.84,13.85,13.87
55.00,3.73,40.56,40.73
55.16,4.58,46.15,46.38
55.31,-1.50,26.05,26.09
55.47,-2.21,18.48,18.61
55.64,0.26,14.16,14.16
55.78,0.62,6.44,6.47
55.94,0.11,5.90,5.90
56.13,0.20,-0.50,0.53
56.27,0.08,-3.33,3.34
56.43,0.10,0.75,0.75
56.59,-0.11,3.32,3.32
56.74,14.50,7.86,16.50
56.91,22.43,-1.07,22.46
57.07,26.98,-3.93,27.27
57.23,40.46,-1.65,40.49
57.37,71.17,-0.10,71.17
57.53,69.37,-2.47,69.42
57.69,73.50,-2.35,73.54
57.84,81.85,-1.19,81.86
58.01,108.11,-2.44,108.13
58.16,102.31,-1.26,102.32
58.32,86.32,-0.75,86.33
58.47,104.17,-0.48,104.17
58.63,84.55,0.18,84.55
58.79,80.34,-0.16,80.34
58.96,-1.71,19.03,19.10
59.11,1.92,-6.42,6.70
59.27,60.11,13.04,61.51
59.43,-25.10,-8.86,26.62
59.59,23.82,6.64,24.73
59.76,-12.09,-0.07,12.09
59.91,4.74,0.85,4.82
60.06,-9.92,-0.95,9.97
60.22,-0.79,0.29,0.85
60.37,3.43,-0.04,3.43
60.53,-2.79,-0.14,2.79
60.69,-0.63,-1.16,1.32
60.85,1.19,-0.28,1.22
61.01,-5.16,0.04,5.16
61.16,6.91,-28.32,29.15
61.32,-2.85,-1.90,3.43
61.48,-5.93,-21.84,22.63
61.64,-2.46,-35.67,35.75
61.79,-2.18,-59.10,59.14
61.95,-4.81,-66.24,66.42
62.11,-5.41,-66.45,66.67
62.26,-2.80,-52.68,52.75
62.42,-12.97,-23.90,27.19
62.58,-17.77,-12.55,21.76
62.75,1.68,54.47,54.49
62.91,0.94,-22.80,22.82
63.06,5.81,30.34,30.89
63.23,6.91,21.24,22.33
63.38,6.00,18.36,19.32
63.54,0.20,-4.42,4.42
63.70,-3.14,5.23,6.10
63.85,-2.14,9.83,10.06
64.01,-0.40,6.76,6.78
64.17,-0.07,1.54,1.54
64.32,-0.10,-2.01,2.01
64.48,-0.82,0.22,0.85
64.64,1.14,12.02,12.08
64.80,-30.06,-5.10,30.49
64.96,3.76,2.68,4.62
65.11,-36.62,3.15,36.75
