Time (s),Orientation - Pitch (°),Orientation - Roll (°),Orientation - Yaw (°)
42.65,-24.90,-0.45,-7.81
42.80,-9.24,0.47,-1.62
42.96,-0.69,0.95,5.07
43.12,-3.18,0.96,4.09
43.28,2.14,-8.98,-3.03
43.43,32.85,-63.88,19.89
43.59,46.93,-83.89,12.49
43.75,37.60,-83.14,-21.92
43.92,37.31,-86.14,-29.37
44.07,38.72,-87.20,-16.81
44.23,40.11,-92.14,-4.02
44.39,28.15,-91.64,-2.33
44.55,16.77,-92.43,0.10
44.70,4.90,-91.86,-1.04
44.85,-2.52,-91.28,0.46
45.01,-1.11,-90.96,-0.85
45.17,-3.51,-90.36,-1.01
45.32,-2.11,-90.05,-0.65
45.48,0.75,-90.02,-2.11
45.65,3.97,-89.81,-2.32
45.80,31.92,-77.41,74.03
45.95,-57.23,-111.02,47.87
46.11,67.31,-59.16,-0.03
46.27,6.40,-78.68,30.06
46.44,20.78,-89.14,16.72
46.59,31.14,-97.49,-2.63
46.74,19.21,-99.34,-9.60
46.91,5.38,-99.55,-3.63
47.08,-2.26,-96.16,0.90
47.22,-1.46,-96.12,0.47
47.38,1.90,-96.26,-2.84
47.55,2.88,-97.01,-3.78
47.71,3.77,-97.57,-4.73
47.86,3.79,-104.78,-4.52
48.02,18.15,-173.99,7.01
48.18,36.60,177.51,1.22
48.34,40.00,177.00,-10.27
48.50,42.80,179.12,-11.33
48.66,43.95,175.97,-4.10
48.81,39.36,174.43,-1.78
48.98,31.18,175.26,-1.47
49.12,-15.05,175.70,8.97
49.29,-55.56,173.19,15.57
49.45,-40.76,173.73,8.18
49.60,-44.14,178.11,-11.15
49.76,-32.98,-179.57,-20.57
49.92,-17.39,179.66,-13.25
50.08,22.66,157.35,12.49
50.24,41.74,121.37,25.15
50.40,55.14,102.12,-1.07
50.57,63.98,107.87,-25.54
50.72,51.69,97.81,-18.26
50.88,26.07,98.41,-21.79
51.04,18.65,94.40,-15.95
51.19,8.52,91.71,-10.44
51.36,3.39,89.59,-7.00
51.51,51.28,86.31,63.72
51.67,-85.22,72.13,38.35
51.83,26.66,85.38,-15.61
51.98,7.51,105.95,-6.61
52.14,-15.73,102.81,28.08
52.30,-23.65,101.04,6.90
52.46,-6.92,106.14,-8.20
52.63,-5.51,102.92,-4.63
52.79,-2.29,103.31,5.12
52.93,-4.78,101.75,7.33
53.08,1.25,101.18,1.27
53.24,-1.42,99.24,-3.87
53.40,2.50,96.96,-5.06
53.57,1.72,86.98,1.78
53.72,18.72,7.24,1.73
53.89,43.73,-0.41,8.74
54.04,24.76,2.55,-7.19
54.20,67.16,1.44,-17.36
54.36,75.44,2.98,-22.94
54.51,29.57,-0.05,-18.13
54.67,24.06,0.43,-0.58
54.84,10.69,-3.25,-0.94
55.00,-36.96,-2.79,2.92
55.16,-51.41,-3.30,5.36
55.31,-40.57,-3.19,-0.42
55.47,-31.29,-1.55,-9.99
55.64,-14.21,-1.17,-13.31
55.78,-6.65,-0.47,-4.25
55.94,4.10,0.24,4.01
56.13,9.14,1.14,-3.10
56.27,0.40,1.46,-4.08
56.43,-7.97,1.68,0.16
56.59,-0.96,1.61,-1.38
56.74,7.77,-62.51,5.94
56.91,31.20,-88.56,6.73
57.07,40.37,-92.04,-1.43
57.23,40.66,-88.68,-9.74
57.37,38.06,-88.77,-6.00
57.53,43.76,-91.33,-1.12
57.69,33.30,-91.02,-2.49
57.84,20.36,-90.89,-1.31
58.01,4.05,-91.28,-1.36
58.16,0.91,-90.69,-1.13
58.32,-3.06,-90.45,0.56
58.47,-3.43,-90.27,0.26
58.63,-0.96,-89.88,-0.06
58.79,1.07,-90.09,-0.58
58.96,52.72,-74.75,39.63
59.11,-18.39,-57.56,60.61
59.27,-40.45,-79.65,42.90
59.43,48.04,-61.78,12.84
59.59,-1.62,-77.78,-14.28
59.76,11.59,-83.20,-29.63
59.91,6.91,-84.47,-16.37
60.06,9.96,-80.66,14.53
60.22,1.79,-80.75,17.55
60.37,3.24,-83.50,-5.85
60.53,1.44,-86.34,-21.55
60.69,-6.75,-85.73,-11.49
60.85,-2.68,-84.97,8.48
61.01,0.29,-88.93,15.06
61.16,4.71,-167.29,12.23
61.32,46.31,178.66,19.82
61.48,32.42,-179.02,-5.02
61.64,39.13,-176.90,-20.34
61.79,44.07,-179.34,-12.71
61.95,44.54,175.33,-0.19
62.11,36.84,176.04,-3.02
62.26,-3.99,177.39,3.94
62.42,4.37,-173.87,47.98
62.58,23.94,-165.89,74.02
62.75,-41.65,-152.23,64.89
62.91,-11.08,175.22,6.18
63.06,30.60,172.60,-27.96
63.23,21.65,169.08,-26.55
63.38,14.23,168.68,9.20
63.54,17.86,-179.92,26.38
63.70,21.04,-176.35,12.62
63.85,16.62,-174.76,-12.23
64.01,1.37,-178.66,-18.19
64.17,-0.74,178.73,0.70
64.32,4.38,177.57,17.41
64.48,10.18,179.07,12.12
64.64,5.10,173.14,-6.28
64.80,17.81,99.51,-0.31
64.96,34.93,89.31,-0.80
65.11,36.14,89.67,-10.70
